time,open,high,low,close,volume
1754055000,5300,5304.63,5296.89,5300.45,3393
1754055300,5300.45,5301.33,5292.87,5299.22,2641
1754055600,5299.22,5301.65,5295.25,5299.01,2472
1754055900,5299.01,5305.07,5297.79,5301.81,2105
1754056200,5301.81,5306.85,5290.03,5295.46,2285
1754056500,5295.46,5296.53,5294.41,5294.64,1297
1754056800,5294.64,5295.43,5291.75,5294.26,1738
1754057100,5294.26,5300.98,5290.67,5292.35,522
1754057400,5292.35,5296.02,5278.26,5285.59,3218
1754057700,5285.59,5288.19,5284.06,5287.15,2974
1754058000,5287.15,5292.89,5285.18,5292.13,1955
1754058300,5292.13,5292.28,5284.81,5287.43,3461
1754058600,5287.43,5291.07,5275.36,5278.53,616
1754058900,5278.53,5295.59,5277.59,5287.57,2027
1754059200,5287.57,5302.07,5284.0,5295.45,1841
1754059500,5295.45,5297.69,5292.57,5294.71,1476
1754059800,5294.71,5295.89,5288.19,5294.33,335
1754060100,5294.33,5304.77,5292.72,5301.6,2774
1754060400,5301.6,5307.1,5298.68,5299.38,2305
1754060700,5299.38,5300.04,5297.7,5298.29,1708
1754061000,5298.29,5314.49,5286.25,5308.1,2389
1754061300,5308.1,5309.35,5306.72,5307.4,2366
1754061600,5307.4,5312.23,5305.91,5308.99,2164
1754061900,5308.99,5320.04,5305.7,5318.26,4591
1754062200,5318.26,5323.95,5314.33,5321.98,2768
1754062500,5321.98,5325.52,5313.65,5317.99,2044
1754062800,5317.99,5324.75,5313.13,5323.29,3101
1754063100,5323.29,5326.44,5319.26,5323.61,2348
1754063400,5323.61,5323.76,5319.11,5322.91,3102
1754063700,5322.91,5330.07,5322.12,5329.49,2266
1754064000,5329.49,5332.19,5324.4,5325.74,1742
1754064300,5325.74,5331.03,5322.47,5323.65,2544
1754064600,5323.65,5331.35,5318.1,5318.12,3493
1754064900,5318.12,5319.74,5312.71,5314.61,3087
1754065200,5314.61,5317.91,5309.22,5310.23,3332
1754065500,5310.23,5311.16,5305.29,5310.39,1881
1754065800,5310.39,5312.59,5308.32,5309.14,1872
1754066100,5309.14,5314.4,5308.64,5311.1,2104
1754066400,5311.1,5313.81,5307.41,5309.21,1663
1754066700,5309.21,5312.61,5306.7,5311.01,3615
1754067000,5311.01,5317.36,5310.74,5314.93,2951
1754067300,5314.93,5315.33,5309.64,5311.87,889
1754067600,5311.87,5315.91,5310.18,5313.44,1292
1754067900,5313.44,5317.85,5311.53,5314.96,3044
1754068200,5314.96,5318.56,5312.98,5316.0,3268
1754068500,5316.0,5317.66,5309.98,5311.7,2249
1754068800,5311.7,5323.38,5304.51,5323.14,685
1754069100,5323.14,5326.44,5310.27,5312.39,2218
1754069400,5312.39,5318.76,5310.03,5312.14,1569
1754069700,5312.14,5315.1,5310.9,5311.08,2834
1754070000,5311.08,5312.53,5307.37,5307.74,2245
1754070300,5307.74,5316.71,5301.42,5313.78,1617
1754070600,5313.78,5321.44,5308.26,5318.85,2622
1754070900,5318.85,5323.25,5316.72,5320.76,1562
1754071200,5320.76,5324.85,5308.72,5311.05,1967
1754071500,5311.05,5317.71,5305.12,5310.9,2724
1754071800,5310.9,5312.68,5303.0,5309.01,2141
1754072100,5309.01,5318.25,5303.67,5313.03,1730
1754072400,5313.03,5313.66,5308.42,5313.29,1203
1754072700,5313.29,5317.73,5312.81,5316.91,3594
1754073000,5316.91,5318.67,5312.08,5312.12,2446
1754073300,5312.12,5315.05,5311.22,5314.46,2739
1754073600,5314.46,5324.77,5311.07,5323.73,3047
1754073900,5323.73,5326.4,5319.18,5322.06,3544
1754074200,5322.06,5323.7,5317.1,5318.18,3249
1754074500,5318.18,5325.52,5317.49,5322.52,1639
1754074800,5322.52,5326.17,5319.33,5325.16,3376
1754075100,5325.16,5329.32,5323.68,5326.11,1307
1754075400,5326.11,5327.46,5316.68,5321.9,2533
1754075700,5321.9,5324.38,5313.0,5315.43,2664
