time,open,high,low,close,volume
1672693200,16800,17310.86,16756.22,17235.45,1558608
1672779600,17235.45,17558.23,17188.27,17397.24,1199415
1672866000,17397.24,17494.13,17136.91,17195.06,1385282
1672952400,17195.06,17242.96,16965.48,17027.0,220877
1673038800,17027.0,17298.05,16943.47,17253.42,1607357
1673298000,17253.42,17306.54,17156.12,17300.51,1576637
1673384400,17300.51,17465.33,16869.3,17011.39,1417366
1673470800,17011.39,17042.96,16983.7,17018.37,1693152
1673557200,17018.37,17044.63,16310.13,16341.35,1274573
1673643600,16341.35,16717.62,16318.37,16596.4,633171
1673902800,16596.4,16818.94,16409.27,16625.79,2394945
1673989200,16625.79,16749.98,16621.41,16734.45,866280
1674075600,16734.45,16767.06,16270.56,16518.11,1557062
1674162000,16518.11,16519.19,16044.15,16178.49,2157948
1674248400,16178.49,16412.25,15959.71,16341.58,1128681
1674507600,16341.58,16464.44,16293.99,16310.8,1848878
1674594000,16310.8,16372.45,16209.28,16280.37,1327209
1674680400,16280.37,16463.77,16118.19,16414.48,1334273
1674766800,16414.48,16417.98,16117.12,16199.78,1066315
1674853200,16199.78,16267.32,15908.89,16156.94,1430351
1675112400,16156.94,16186.46,16036.64,16109.87,918343
1675198800,16109.87,16247.94,16108.66,16209.7,1360870
1675285200,16209.7,16279.74,16099.54,16131.36,2307708
1675371600,16131.36,16384.97,16082.87,16303.97,1261921
1675458000,16303.97,16614.38,16152.67,16398.1,1795907
1675717200,16398.1,16589.72,16321.85,16569.08,2027297
1675803600,16569.08,17104.04,16394.5,16965.49,1602559
1675890000,16965.49,17122.53,16940.11,17111.03,1284411
1675976400,17111.03,17390.71,17085.79,17231.19,1578260
1676062800,17231.19,17347.16,17129.43,17343.04,1583009
1676322000,17343.04,17467.94,17033.48,17111.11,1736677
1676408400,17111.11,17340.08,17092.54,17316.09,846797
1676494800,17316.09,17693.11,17200.1,17580.62,1024365
1676581200,17580.62,17594.74,17394.53,17447.89,1204509
1676667600,17447.89,17694.82,17405.42,17619.01,1352032
1676926800,17619.01,17678.13,17391.9,17455.83,1479296
1677013200,17455.83,17625.81,17361.35,17603.29,1241977
1677099600,17603.29,17869.67,17578.08,17852.64,1605694
1677186000,17852.64,17984.78,17714.79,17970.06,1821810
1677272400,17970.06,17987.68,17068.73,17408.21,980853
1677531600,17408.21,17558.57,17407.46,17434.52,2035043
1677618000,17434.52,17579.78,17171.36,17193.36,1201877
1677704400,17193.36,17257.86,16962.01,16992.15,1503259
1677790800,16992.15,17021.69,16905.72,16919.32,1207065
1677877200,16919.32,17059.91,16910.27,17018.18,1778157
1678136400,17018.18,17034.48,16755.88,16814.16,2033259
1678222800,16814.16,17147.96,16639.65,16911.66,1351557
1678309200,16911.66,16965.7,16680.16,16711.39,1436734
1678395600,16711.39,16777.7,16499.25,16519.52,1661203
1678482000,16519.52,16678.02,16275.37,16579.19,1391362
1678741200,16579.19,16637.09,16362.31,16466.62,1460106
1678827600,16466.62,16763.45,16391.88,16743.38,1702942
1678914000,16743.38,17035.43,16622.87,16895.09,1543230
1679000400,16895.09,16963.55,16678.84,16716.98,2014984
1679086800,16716.98,16895.56,16536.85,16854.87,2170486
1679346000,16854.87,17221.66,16803.55,17133.91,1987011
1679432400,17133.91,17213.23,16971.33,16973.86,1099063
1679518800,16973.86,17085.6,16782.95,17045.9,1877595
1679605200,17045.9,17266.69,16740.02,16748.73,1416337
1679691600,16748.73,16909.93,16558.31,16579.58,1036913
1679950800,16579.58,16673.93,16430.89,16456.79,1198106
1680037200,16456.79,16477.16,16070.61,16256.62,1297097
1680123600,16256.62,16655.49,16234.06,16569.39,1777924
1680210000,16569.39,16575.35,16284.88,16431.8,1764814
1680296400,16431.8,16715.79,16411.66,16644.37,1336421
1680555600,16644.37,16945.89,16185.09,16252.53,1830595
1680642000,16252.53,16343.72,15998.28,16325.07,769338
1680728400,16325.07,16370.39,16249.66,16272.06,1778174
1680814800,16272.06,16414.71,16025.66,16146.04,1682699
1680901200,16146.04,16405.17,15975.89,16318.17,1292206
1681160400,16318.17,16574.11,16300.24,16499.53,1198777
1681246800,16499.53,16737.17,16467.43,16662.18,1110395
1681333200,16662.18,16991.65,16607.11,16985.66,1400400
1681419600,16985.66,16995.55,16755.46,16946.51,1034642
1681506000,16946.51,17165.94,16833.24,17044.18,1544828
1681765200,17044.18,17300.34,16904.32,16939.29,1065244
1681851600,16939.29,17128.87,16934.78,17104.92,913881
1681938000,17104.92,17355.66,17080.31,17135.15,2050524
1682024400,17135.15,17231.39,16752.88,16909.67,1419060
1682110800,16909.67,17129.61,16854.37,17120.4,695071
1682370000,17120.4,17288.69,16654.33,16920.28,1602968
1682456400,16920.28,17071.52,16699.05,16890.95,1034084
1682542800,16890.95,17293.14,16883.02,17170.17,1234648
1682629200,17170.17,17320.62,17091.01,17164.53,2174094
1682715600,17164.53,17456.32,17085.13,17336.31,1622589
1682974800,17336.31,17388.1,17061.63,17144.0,2502332
1683061200,17144.0,17164.53,16929.32,17160.63,1569706
1683147600,17160.63,17319.91,16824.48,16991.83,1556421
1683234000,16991.83,17067.93,16893.95,16920.33,1498277
1683320400,16920.33,17288.41,16834.53,17197.04,2091177
1683579600,17197.04,17354.93,17106.35,17241.75,872816
1683666000,17241.75,17358.63,17183.49,17312.24,1834506
1683752400,17312.24,17333.28,17016.14,17160.45,1533350
1683838800,17160.45,17362.92,17052.42,17340.35,1407139
1683925200,17340.35,17421.73,16924.57,16982.79,2040294
1684184400,16982.79,16996.97,16717.07,16755.05,1418390
1684270800,16755.05,16913.56,16635.52,16829.11,933010
1684357200,16829.11,16920.27,16700.67,16726.99,1351239
1684443600,16726.99,16808.7,16397.72,16607.67,1351515
1684530000,16607.67,16835.29,16579.19,16687.19,1772109
1684789200,16687.19,16708.29,16514.58,16561.84,2491292
1684875600,16561.84,16954.56,16486.3,16821.85,1762145
1684962000,16821.85,16862.36,16729.77,16794.28,1563876
1685048400,16794.28,16827.1,16458.55,16654.2,944677
1685134800,16654.2,16710.17,16325.97,16412.98,1347927
1685394000,16412.98,16571.2,16352.48,16524.14,2059622
1685480400,16524.14,16597.04,16385.7,16407.77,1220148
1685566800,16407.77,16646.81,16244.39,16502.92,1936925
1685653200,16502.92,16690.06,16188.4,16302.04,1287836
1685739600,16302.04,16545.91,16136.02,16144.32,833716
1685998800,16144.32,16616.81,16137.74,16430.93,387938
1686085200,16430.93,16577.15,16319.58,16369.01,1163773
1686171600,16369.01,16410.0,16187.08,16284.02,1401809
1686258000,16284.02,16317.3,15808.34,15912.21,2437519
1686344400,15912.21,15962.49,15853.58,15944.52,1804198
1686603600,15944.52,16373.62,15936.34,16263.59,1072752
1686690000,16263.59,16284.5,16086.97,16140.03,1155867
1686776400,16140.03,16288.26,16034.44,16088.6,1782972
1686862800,16088.6,16183.88,16043.6,16162.55,1710756
1686949200,16162.55,16276.07,16162.45,16164.64,1866430
1687208400,16164.64,16249.86,16090.42,16170.79,1268010
1687294800,16170.79,16301.54,15907.68,15962.08,1584322
1687381200,15962.08,16166.08,15951.96,16075.44,1289962
1687467600,16075.44,16104.95,15647.21,15740.54,2081933
1687554000,15740.54,15807.07,15507.48,15610.3,1493356
1687813200,15610.3,15633.77,15299.04,15377.94,2196441
1687899600,15377.94,15455.69,14914.71,15196.74,1221832
1687986000,15196.74,15533.12,15097.59,15519.47,1616021
1688072400,15519.47,15524.35,15211.02,15470.72,2323013
1688158800,15470.72,15927.82,15373.82,15751.32,696837
1688418000,15751.32,15927.21,15747.21,15885.37,1449078
1688504400,15885.37,16076.92,15857.93,16016.25,1699663
1688590800,16016.25,16056.9,15831.81,15982.08,1396868
1688677200,15982.08,16414.27,15975.65,16343.26,1957781
1688763600,16343.26,16364.53,16217.09,16254.93,1498086
1689022800,16254.93,16613.0,16197.84,16382.87,1062396
1689109200,16382.87,16583.66,16153.87,16233.39,1858695
1689195600,16233.39,16336.19,16175.91,16296.76,1673536
1689282000,16296.76,16442.66,16187.85,16417.93,1884520
1689368400,16417.93,16852.78,16391.86,16667.88,1034044
1689627600,16667.88,16798.93,16507.82,16766.04,1954047
1689714000,16766.04,16820.53,16614.64,16680.99,1734182
1689800400,16680.99,16729.94,16352.21,16508.46,1927023
1689886800,16508.46,16730.24,16420.62,16599.76,1555701
1689973200,16599.76,16977.0,16577.41,16654.87,2117998
1690232400,16654.87,16807.76,16437.72,16573.73,1596870
1690318800,16573.73,16681.47,16435.65,16612.64,1223319
1690405200,16612.64,16740.64,16367.74,16403.78,1065770
1690491600,16403.78,16759.64,16312.61,16703.55,818783
1690578000,16703.55,16721.33,16647.49,16665.06,1680594
1690837200,16665.06,16768.98,16411.5,16517.32,2420596
1690923600,16517.32,16939.17,16429.08,16906.19,1574760
1691010000,16906.19,17200.4,16878.9,16998.19,1192798
1691096400,16998.19,17284.72,16898.99,17200.01,1716164
1691182800,17200.01,17323.0,17133.76,17164.96,1328206
1691442000,17164.96,17251.25,17057.54,17123.96,1351819
1691528400,17123.96,17245.65,16903.56,17010.49,1805598
1691614800,17010.49,17160.09,16986.51,17125.2,890982
1691701200,17125.2,17295.28,17025.29,17174.95,1603895
1691787600,17174.95,17189.49,16989.18,17035.61,1923773
1692046800,17035.61,17232.88,16948.93,17114.04,1346994
1692133200,17114.04,17376.61,17062.92,17240.49,1281679
1692219600,17240.49,17351.36,16908.56,17036.15,1099050
1692306000,17036.15,17107.79,16945.07,16994.16,1211718
1692392400,16994.16,17392.68,16962.91,17374.31,1828255
1692651600,17374.31,17454.33,17299.17,17316.11,1138295
1692738000,17316.11,17359.58,17123.77,17134.65,1433540
1692824400,17134.65,17163.55,16960.21,17050.18,1943268
1692910800,17050.18,17079.19,16793.22,17004.81,1033350
1692997200,17004.81,17108.61,16796.47,16874.21,654900
1693256400,16874.21,17045.46,16626.29,16968.6,1299716
1693342800,16968.6,17224.81,16863.12,17056.86,1119972
1693429200,17056.86,17187.9,16985.22,16992.68,1775616
1693515600,16992.68,17316.01,16891.8,17252.1,1925898
1693602000,17252.1,17329.06,16987.43,17098.03,1426349
1693861200,17098.03,17115.45,16902.58,16919.88,1778111
1693947600,16919.88,16961.77,16364.57,16587.2,2019825
1694034000,16587.2,16619.59,16533.27,16562.8,1109351
1694120400,16562.8,16567.44,16350.89,16482.4,1468682
1694206800,16482.4,16675.05,16432.78,16534.12,874603
1694466000,16534.12,16568.82,16477.21,16544.77,1528304
1694552400,16544.77,16724.18,16397.96,16648.9,1370194
1694638800,16648.9,16857.87,16276.09,16386.82,1805811
1694725200,16386.82,16704.31,16331.92,16619.75,1584264
1694811600,16619.75,16769.46,16264.85,16523.31,1661047
1695070800,16523.31,16601.81,16294.12,16424.9,1244793
1695157200,16424.9,16795.76,16252.85,16675.69,2234755
1695243600,16675.69,16825.66,16358.16,16461.07,1209704
1695330000,16461.07,16509.78,16349.61,16504.72,2143132
1695416400,16504.72,16787.45,16332.04,16778.91,1496750
1695675600,16778.91,16863.86,16631.87,16830.04,1362496
1695762000,16830.04,16875.68,16639.45,16655.97,1269412
1695848400,16655.97,16936.95,16454.56,16895.25,1343276
1695934800,16895.25,16977.78,16800.27,16826.52,1435198
1696021200,16826.52,17032.49,16737.54,16836.79,1250440
1696280400,16836.79,16944.94,16802.69,16915.71,1414370
1696366800,16915.71,17003.83,16801.97,16931.7,1516087
1696453200,16931.7,16931.81,16762.73,16783.79,1393005
1696539600,16783.79,16798.63,16363.31,16562.36,2007534
1696626000,16562.36,16783.28,16460.12,16700.2,1596541
1696885200,16700.2,16963.52,16582.14,16939.56,1455678
1696971600,16939.56,17044.69,16472.32,16520.18,949650
1697058000,16520.18,16777.06,16449.79,16651.21,1767628
1697144400,16651.21,16963.01,16496.14,16937.82,1419518
1697230800,16937.82,16973.85,16697.15,16813.12,1658317
1697490000,16813.12,16854.03,16651.65,16686.77,2154379
1697576400,16686.77,17076.98,16667.84,17015.64,1434184
1697662800,17015.64,17219.16,16765.01,16903.51,1414027
1697749200,16903.51,16974.81,16646.74,16649.87,2131145
1697835600,16649.87,16809.57,16263.11,16418.42,1640594
1698094800,16418.42,16464.69,15956.1,16212.04,1740079
1698181200,16212.04,16332.55,15983.61,16220.89,1471141
1698267600,16220.89,16376.64,16167.61,16219.27,1448928
1698354000,16219.27,16305.78,15758.01,16018.74,1789145
1698440400,16018.74,16215.25,15884.6,16193.66,1045200
1698699600,16193.66,16289.36,16111.29,16140.73,1146385
1698786000,16140.73,16429.13,16076.14,16302.31,1169521
1698872400,16302.31,16304.63,15734.63,15772.6,1117991
1698958800,15772.6,16039.6,15648.42,15967.45,1824624
1699045200,15967.45,16269.45,15892.38,16048.95,979344
1699304400,16048.95,16066.67,15961.08,16011.05,1555309
1699390800,16011.05,16206.42,15875.34,16170.49,1101449
1699477200,16170.49,16503.55,16150.49,16319.75,1645663
1699563600,16319.75,16383.86,16074.35,16175.51,1288873
1699650000,16175.51,16218.74,16053.25,16207.2,1588510
1699909200,16207.2,16241.02,16138.89,16197.53,1900169
1699995600,16197.53,16753.66,16089.57,16579.3,1096560
1700082000,16579.3,16614.63,16417.39,16467.24,1343773
1700168400,16467.24,16660.57,16200.52,16358.62,1232750
1700254800,16358.62,16377.48,16080.01,16219.66,1487886
1700514000,16219.66,16447.64,16152.44,16240.78,1470114
1700600400,16240.78,16455.86,16227.31,16260.09,1218889
1700686800,16260.09,16300.8,16057.86,16150.2,1095967
1700773200,16150.2,16154.5,15948.73,16048.19,1752718
1700859600,16048.19,16099.11,15927.2,15979.58,2088254
1701118800,15979.58,16378.71,15839.75,16284.61,1031270
1701205200,16284.61,16425.21,16282.95,16370.01,1479359
1701291600,16370.01,16739.61,16347.39,16643.59,1741679
1701378000,16643.59,16771.33,16149.93,16370.87,1553528
1701464400,16370.87,16503.17,16241.0,16294.98,1534909
1701723600,16294.98,16423.35,16220.19,16405.92,726473
1701810000,16405.92,16484.41,15915.04,15970.05,1587068
1701896400,15970.05,15974.29,15858.78,15904.38,1042738
1701982800,15904.38,16033.47,15686.9,15951.02,1643121
1702069200,15951.02,16107.29,15852.45,16001.31,1877623
1702328400,16001.31,16017.07,15798.21,15890.55,1588395
1702414800,15890.55,15974.26,15870.83,15914.86,2050289
1702501200,15914.86,16057.25,15585.33,15709.03,884422
1702587600,15709.03,16127.57,15657.7,15930.81,1536256
