time,open,high,low,close,volume
1754055000,18600,18606.13,18594.6,18600.68,2817
1754055300,18600.68,18621.01,18582.38,18616.19,1703
1754055600,18616.19,18625.59,18607.0,18617.32,2334
1754055900,18617.32,18625.94,18611.36,18621.03,4510
1754056200,18621.03,18654.2,18618.63,18635.48,1939
1754056500,18635.48,18650.82,18624.21,18626.83,743
1754056800,18626.83,18635.46,18613.05,18632.04,1671
1754057100,18632.04,18632.31,18616.55,18621.55,2564
1754057400,18621.55,18661.73,18612.08,18652.33,2275
1754057700,18652.33,18679.02,18635.47,18670.72,1322
1754058000,18670.72,18671.36,18643.22,18653.37,1943
1754058300,18653.37,18669.46,18652.03,18660.95,2252
1754058600,18660.95,18688.26,18658.18,18683.52,3592
1754058900,18683.52,18685.46,18660.6,18668.36,2489
1754059200,18668.36,18672.49,18652.36,18658.71,1964
1754059500,18658.71,18674.05,18635.08,18641.53,3539
1754059800,18641.53,18650.98,18633.69,18647.92,2744
1754060100,18647.92,18666.29,18647.08,18650.12,3304
1754060400,18650.12,18670.01,18632.61,18658.31,2869
1754060700,18658.31,18709.29,18655.48,18691.47,227
1754061000,18691.47,18706.38,18671.58,18705.27,2170
1754061300,18705.27,18720.34,18655.38,18671.16,1358
1754061600,18671.16,18678.54,18662.22,18668.21,2667
1754061900,18668.21,18688.55,18635.82,18636.61,2607
1754062200,18636.61,18648.42,18634.26,18646.43,1664
1754062500,18646.43,18651.57,18632.27,18644.53,2391
1754062800,18644.53,18650.03,18637.81,18646.06,2686
1754063100,18646.06,18652.06,18628.63,18641.82,2765
1754063400,18641.82,18683.01,18631.46,18642.17,3267
1754063700,18642.17,18656.65,18628.82,18644.73,2420
1754064000,18644.73,18657.68,18632.78,18645.61,2716
1754064300,18645.61,18670.57,18638.88,18645.93,1576
1754064600,18645.93,18660.31,18645.54,18658.53,3114
1754064900,18658.53,18686.05,18656.13,18662.47,2726
1754065200,18662.47,18688.61,18650.55,18681.97,2445
1754065500,18681.97,18711.88,18677.03,18701.88,1061
1754065800,18701.88,18702.06,18688.62,18694.45,4276
1754066100,18694.45,18741.16,18685.53,18725.36,3626
1754066400,18725.36,18748.87,18719.64,18732.76,1487
1754066700,18732.76,18747.6,18715.24,18718.3,4523
1754067000,18718.3,18725.93,18688.67,18724.68,2084
1754067300,18724.68,18727.78,18717.22,18722.18,2221
1754067600,18722.18,18750.13,18715.55,18746.69,2701
1754067900,18746.69,18758.2,18731.63,18732.23,438
1754068200,18732.23,18733.43,18730.53,18732.49,2431
1754068500,18732.49,18742.57,18724.92,18738.46,1036
1754068800,18738.46,18764.19,18732.73,18753.82,2082
1754069100,18753.82,18763.14,18730.83,18746.66,1524
1754069400,18746.66,18749.23,18723.29,18726.36,2539
1754069700,18726.36,18734.0,18699.52,18710.17,1574
1754070000,18710.17,18729.02,18708.59,18720.45,1411
1754070300,18720.45,18754.01,18718.12,18752.51,2164
1754070600,18752.51,18755.63,18734.22,18736.59,1744
1754070900,18736.59,18752.14,18731.43,18738.58,2415
1754071200,18738.58,18767.1,18727.94,18756.25,1788
1754071500,18756.25,18765.66,18725.01,18725.74,2169
1754071800,18725.74,18739.2,18718.49,18733.92,4120
1754072100,18733.92,18743.8,18695.35,18707.25,4091
1754072400,18707.25,18717.53,18696.54,18711.53,2529
1754072700,18711.53,18718.16,18676.01,18676.32,2407
1754073000,18676.32,18689.98,18649.75,18668.33,2620
1754073300,18668.33,18668.79,18661.04,18661.7,4244
1754073600,18661.7,18677.41,18627.46,18643.88,2387
1754073900,18643.88,18658.31,18623.62,18633.66,4332
1754074200,18633.66,18638.97,18589.45,18597.52,4200
1754074500,18597.52,18618.53,18591.5,18602.82,2676
1754074800,18602.82,18615.93,18599.53,18604.91,2090
1754075100,18604.91,18616.26,18602.25,18613.02,1975
1754075400,18613.02,18632.74,18603.34,18626.2,2115
1754075700,18626.2,18629.78,18598.29,18620.82,3713
1754076000,18620.82,18646.72,18616.22,18631.26,3174
1754076300,18631.26,18634.95,18610.28,18634.6,1970
1754076600,18634.6,18664.43,18628.0,18644.21,2347
1754076900,18644.21,18651.14,18602.53,18627.27,1550
1754077200,18627.27,18660.9,18614.61,18630.1,3375
1754077500,18630.1,18647.42,18601.25,18617.58,1354
1754077800,18617.58,18643.0,18591.88,18605.05,3176
1754078100,18605.05,18636.92,18601.94,18625.87,3106
1754314200,18625.87,18640.47,18589.87,18614.97,2457
1754314500,18614.97,18621.94,18597.31,18601.25,1829
1754314800,18601.25,18602.25,18593.03,18598.93,3526
1754315100,18598.93,18614.1,18571.93,18590.86,4164
1754315400,18590.86,18595.63,18555.12,18583.89,3502
1754315700,18583.89,18623.39,18575.84,18621.37,2027
1754316000,18621.37,18637.17,18616.69,18632.24,4534
1754316300,18632.24,18667.69,18627.1,18654.95,3034
1754316600,18654.95,18682.17,18631.77,18642.53,3860
1754316900,18642.53,18655.94,18624.76,18633.62,2322
1754317200,18633.62,18634.67,18621.47,18623.92,2630
1754317500,18623.92,18629.38,18586.42,18620.45,3557
1754317800,18620.45,18644.37,18606.25,18611.89,1106
1754318100,18611.89,18635.86,18575.19,18588.68,1507
1754318400,18588.68,18595.31,18562.31,18564.75,1374
1754318700,18564.75,18564.86,18547.57,18555.08,1641
1754319000,18555.08,18567.24,18548.73,18564.3,2009
1754319300,18564.3,18575.48,18537.95,18544.68,1886
1754319600,18544.68,18552.68,18507.9,18531.42,2822
1754319900,18531.42,18576.99,18527.5,18573.45,2929
1754320200,18573.45,18609.28,18571.77,18591.52,3635
1754320500,18591.52,18594.24,18556.5,18565.16,4043
1754320800,18565.16,18591.73,18540.95,18591.32,1494
1754321100,18591.32,18606.92,18559.92,18567.74,1464
1754321400,18567.74,18596.04,18559.25,18585.89,2095
1754321700,18585.89,18605.8,18561.75,18564.35,2354
1754322000,18564.35,18570.98,18544.88,18555.68,1467
1754322300,18555.68,18578.94,18535.64,18543.15,1920
1754322600,18543.15,18582.19,18524.19,18560.9,1340
1754322900,18560.9,18576.1,18535.5,18546.81,1826
1754323200,18546.81,18563.2,18530.71,18562.34,3197
1754323500,18562.34,18562.52,18534.12,18541.36,2106
1754323800,18541.36,18547.59,18536.32,18543.31,570
1754324100,18543.31,18548.81,18518.91,18540.58,2273
1754324400,18540.58,18540.61,18530.79,18539.87,1454
1754324700,18539.87,18541.43,18537.24,18537.57,2263
1754325000,18537.57,18538.46,18512.7,18528.32,3958
1754325300,18528.32,18549.79,18524.56,18528.01,3352
1754325600,18528.01,18529.89,18497.55,18524.54,3779
1754325900,18524.54,18548.63,18519.15,18525.38,3814
1754326200,18525.38,18549.36,18518.7,18531.67,2713
1754326500,18531.67,18569.03,18523.14,18566.28,2199
1754326800,18566.28,18578.85,18550.65,18566.9,1258
1754327100,18566.9,18581.57,18556.32,18556.84,3575
1754327400,18556.84,18571.39,18550.85,18569.68,4441
1754327700,18569.68,18603.23,18540.36,18588.64,3867
1754328000,18588.64,18596.8,18582.14,18592.35,4532
1754328300,18592.35,18613.85,18569.39,18575.15,2502
1754328600,18575.15,18586.03,18558.18,18565.22,2466
1754328900,18565.22,18588.91,18541.7,18566.4,4075
1754329200,18566.4,18580.9,18546.59,18560.16,839
1754329500,18560.16,18599.31,18552.16,18588.92,3793
1754329800,18588.92,18620.45,18585.58,18617.05,3055
1754330100,18617.05,18633.79,18601.27,18631.53,4764
1754330400,18631.53,18638.48,18611.84,18619.03,2465
1754330700,18619.03,18656.81,18602.05,18628.18,2089
1754331000,18628.18,18634.44,18613.12,18633.9,1699
1754331300,18633.9,18653.56,18611.8,18618.01,2865
1754331600,18618.01,18640.61,18603.99,18630.4,2178
1754331900,18630.4,18645.15,18602.05,18612.47,1210
1754332200,18612.47,18623.45,18610.81,18621.85,3151
1754332500,18621.85,18625.3,18604.36,18611.99,1916
1754332800,18611.99,18625.9,18587.61,18594.77,2299
1754333100,18594.77,18621.77,18566.76,18567.4,2704
1754333400,18567.4,18599.07,18564.16,18578.69,389
1754333700,18578.69,18578.74,18567.37,18573.83,3845
1754334000,18573.83,18577.83,18557.39,18566.66,3207
1754334300,18566.66,18576.67,18553.56,18555.44,2667
1754334600,18555.44,18579.7,18550.41,18561.14,2718
1754334900,18561.14,18575.48,18544.54,18555.11,1865
1754335200,18555.11,18577.62,18548.34,18575.27,3628
1754335500,18575.27,18584.58,18556.59,18556.99,2308
1754335800,18556.99,18565.08,18527.1,18529.33,2702
1754336100,18529.33,18543.66,18520.02,18534.92,2809
1754336400,18534.92,18540.25,18518.26,18528.16,3614
1754336700,18528.16,18536.26,18479.39,18487.68,2228
1754337000,18487.68,18500.13,18466.46,18477.15,2265
1754337300,18477.15,18490.17,18471.37,18484.31,2581
1754400600,18484.31,18511.44,18477.85,18500.93,2461
1754400900,18500.93,18516.17,18475.03,18495.5,3029
1754401200,18495.5,18503.69,18476.42,18500.29,1934
1754401500,18500.29,18509.21,18483.44,18483.77,2808
1754401800,18483.77,18487.36,18447.48,18450.82,3484
1754402100,18450.82,18468.26,18422.12,18445.66,2027
1754402400,18445.66,18457.39,18427.34,18441.6,2518
1754402700,18441.6,18478.87,18430.46,18461.0,2919
1754403000,18461.0,18482.2,18452.89,18476.31,2117
1754403300,18476.31,18523.72,18473.05,18499.76,1950
1754403600,18499.76,18545.58,18498.06,18532.58,2498
1754403900,18532.58,18546.65,18520.4,18546.43,2395
1754404200,18546.43,18575.57,18538.28,18566.38,1396
1754404500,18566.38,18567.37,18543.76,18545.33,2194
